ID,"class","handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
249,republican,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
140,democrat,y,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
383,democrat,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,unknown
201,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,y,y,y
297,republican,n,n,y,y,y,y,n,n,n,y,n,y,y,y,y,y
309,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
308,democrat,y,n,y,n,n,y,y,y,y,n,n,n,n,y,n,unknown
420,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
263,democrat,y,n,y,n,n,n,y,y,y,y,n,n,unknown,n,y,y
181,democrat,unknown,unknown,y,n,n,n,y,y,y,unknown,unknown,n,n,n,unknown,unknown
390,democrat,y,n,y,n,n,n,y,y,y,unknown,y,n,n,n,y,unknown
318,democrat,y,n,n,n,n,n,y,y,y,y,n,n,n,n,y,y
407,democrat,y,n,y,n,y,y,n,n,y,y,n,n,y,y,n,y
394,republican,unknown,unknown,unknown,unknown,n,y,n,y,y,n,n,y,y,n,n,unknown
374,democrat,n,y,y,unknown,y,y,n,y,n,y,unknown,n,y,y,unknown,y
168,republican,y,n,y,y,y,y,y,y,n,y,y,y,n,y,y,y
265,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
41,democrat,y,y,y,n,n,n,y,y,y,n,unknown,n,n,n,n,unknown
183,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,y
5,democrat,y,y,y,n,y,y,n,n,n,n,y,unknown,y,y,y,y
165,democrat,y,y,n,n,y,y,n,n,n,y,y,y,y,y,n,unknown
2,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
422,democrat,n,y,y,n,y,y,y,y,n,n,y,n,y,n,y,y
70,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
91,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
323,democrat,y,y,y,n,unknown,y,n,unknown,n,n,y,n,y,y,n,unknown
398,democrat,y,y,n,n,y,unknown,n,n,n,n,y,n,y,y,n,y
391,democrat,unknown,unknown,n,n,unknown,y,unknown,n,n,n,y,y,n,y,n,unknown
355,democrat,n,y,y,n,n,y,y,y,y,y,n,unknown,n,n,y,y
142,republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,unknown,y
199,democrat,n,n,y,n,n,n,y,y,y,y,y,n,unknown,n,y,unknown
66,republican,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
23,democrat,y,unknown,y,n,n,n,y,y,y,n,n,unknown,n,n,y,y
219,democrat,y,unknown,y,n,n,n,y,y,y,n,unknown,n,n,n,y,unknown
116,democrat,n,unknown,y,n,unknown,unknown,y,y,y,y,unknown,unknown,n,n,y,y
372,democrat,y,y,y,n,unknown,n,y,y,y,y,n,n,n,n,y,unknown
370,republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
146,democrat,n,n,y,n,n,y,y,y,y,y,n,n,n,y,unknown,y
334,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
33,democrat,y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y
349,democrat,y,n,y,n,n,n,y,y,y,y,n,y,n,n,y,unknown
143,republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y
403,republican,unknown,n,y,y,n,y,y,y,y,y,n,y,n,y,n,y
241,republican,n,n,n,y,n,y,y,unknown,y,n,n,y,y,y,n,y
424,democrat,n,y,y,n,n,y,y,y,y,n,y,n,n,y,y,y
205,republican,n,n,y,y,y,y,y,n,n,n,n,y,y,y,n,y
361,democrat,y,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y
243,republican,n,n,n,n,y,y,y,n,n,n,n,unknown,n,y,y,y
163,democrat,n,y,y,n,y,y,y,n,n,n,y,y,y,y,n,y
427,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
360,republican,n,n,n,y,y,y,n,n,n,y,unknown,y,y,y,n,y
157,republican,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,n
135,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
